,bu_code,bu_naam,gemeente,provincie,netbeheerder,NAL_regio,RES_regio,Jaar,aantal_personenautos,aantal_evs_L,thuislaadpunten_L,werklaadpunten_L,publiekelaadpunten_L,bestemmingslaadpunten_L,laadpunten_parkeergarages_L,laadpunten_parkeerpleinen_L,snellaadpunten_L,vermogen_snellaadpunten_L,aantal_evs_M,thuislaadpunten_M,werklaadpunten_M,publiekelaadpunten_M,bestemmingslaadpunten_M,laadpunten_parkeergarages_M,laadpunten_parkeerpleinen_M,snellaadpunten_M,vermogen_snellaadpunten_M,aantal_evs_H,thuislaadpunten_H,werklaadpunten_H,publiekelaadpunten_H,bestemmingslaadpunten_H,laadpunten_parkeergarages_H,laadpunten_parkeerpleinen_H,snellaadpunten_H,vermogen_snellaadpunten_H,datum_bijgewerkt
12096,BU00500000,Centrum,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2023,1044.330598,46.64250045,31.14384481,9.163410678,15.09292089,4.706659857,0.0,0.0,0.023240929,1.743069702,46.64250045,31.14384481,9.163410678,15.09292089,4.706659857,0.0,0.0,0.023240929,1.743069702,46.64250045,31.14384481,9.163410678,15.09292089,4.706659857,0.0,0.0,0.023240929,1.743069702,2024-02-28
12097,BU00500000,Centrum,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2024,1047.254351,56.26102163,31.54263089,10.10656457,17.28001148,5.296309766,0.0,0.0,0.026339286,1.975446416,58.27221695,31.60563685,10.29866343,17.69224522,5.405183659,0.0,0.0,0.02683704,2.012778004,60.28289724,31.66862668,10.15153966,18.12239304,5.521615389,0.0,0.0,0.027377617,2.053321238,2024-02-28
12098,BU00500000,Centrum,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2025,1045.179937,67.37450185,32.0757259,11.21254715,19.67501113,5.972848392,0.0,0.0,0.029724278,2.229320846,72.27718924,32.2427728,11.67726475,20.64936609,6.233551073,0.0,0.0,0.030934274,2.320070542,77.37849069,32.41658698,11.37395918,21.69929344,6.520603708,0.0,0.0,0.032283898,2.421292352,2024-02-28
12099,BU00500000,Centrum,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2026,1045.834416,80.2989032,32.77180015,12.46343475,22.33319402,6.710258579,0.0,0.0,0.033404261,2.505319555,89.21512558,33.1039915,13.29840689,24.04954751,7.173312051,0.0,0.0,0.035577285,2.6682964,98.86128412,33.46337805,12.82346378,25.95763993,7.697957459,0.0,0.0,0.038065796,2.854934702,2024-02-28
12100,BU00500000,Centrum,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2027,1067.822758,97.08473669,33.68733433,13.82795916,25.77250259,7.518419358,0.0,0.0,0.037420462,2.806534652,111.7164076,34.27619377,15.15415955,28.50160427,8.244894081,0.0,0.0,0.040857594,3.064319575,128.1619167,34.93805211,14.48804265,31.62959271,9.091813338,0.0,0.0,0.044899687,3.367476541,2024-02-28
12101,BU00500000,Centrum,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2028,1101.580994,117.9062934,34.89043994,15.33653669,29.9254589,8.398860145,0.0,0.0,0.041816286,3.136221424,140.5280325,35.87091872,17.30575154,34.0142366,9.461313025,0.0,0.0,0.046878064,3.515854804,166.9227852,37.01492868,16.42280503,38.84301816,10.73607565,0.0,0.0,0.052994246,3.974568464,2024-02-28
12102,BU00500000,Centrum,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2029,1107.722074,138.8670411,36.47686004,17.02744529,33.69046559,9.361709497,0.0,0.0,0.046645579,3.498418395,171.4415736,38.04774106,19.83350147,39.38681299,10.84709467,0.0,0.0,0.053765689,4.032426688,210.8651772,39.9489131,18.70015853,46.31454719,12.68217398,0.0,0.0,0.062611502,4.695862666,2024-02-28
12103,BU00500000,Centrum,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2030,1103.257807,161.3502654,38.5827995,18.9293555,37.4173292,10.42359191,0.0,0.0,0.051967156,3.897536669,206.3429814,41.03744091,22.82511552,45.0197648,12.4370548,0.0,0.0,0.061666732,4.625004923,262.7703707,44.11591714,21.3985458,54.53441575,14.99977285,0.0,0.0,0.074066609,5.554995692,2024-02-28
12104,BU00500000,Centrum,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2031,1106.351592,187.9004227,41.36643148,21.01333183,41.67424141,11.58508342,0.0,0.0,0.057841313,4.338098482,248.9048118,45.12808691,26.32820597,51.62835232,14.24983376,0.0,0.0,0.070743789,5.305784159,330.9406649,50.18658543,24.55824254,64.99552741,17.90499783,0.0,0.0,0.088514934,6.638620041,2024-02-28
12105,BU00500000,Centrum,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2032,1106.031353,217.5224498,45.08180239,23.41724449,46.12052293,12.87229712,0.0,0.0,0.064344071,4.825805359,298.4096634,50.77184268,30.59325218,58.84622709,16.33873264,0.0,0.0,0.081199453,6.089958944,397.1337337,57.7166231,28.40801988,73.83944352,20.50332055,0.0,0.0,0.101461108,7.609583108,2024-02-28
12106,BU00500000,Centrum,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2033,1106.657949,251.1384659,49.97159987,26.20572518,50.88662118,14.28593261,0.0,0.0,0.071549863,5.366239732,355.6756941,58.37637645,35.69082572,66.68609629,18.67505956,0.0,0.0,0.092983665,6.973774865,462.0907246,66.93212803,33.00730499,81.37124111,22.81947557,0.0,0.0,0.113130838,8.484812826,2024-02-28
12107,BU00500000,Centrum,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2034,1106.958506,289.1608935,55.93779314,29.44263094,56.04986387,15.857984,0.0,0.0,0.079552702,5.966452674,411.9727916,67.04743887,40.66011671,73.54032388,20.80562507,0.0,0.0,0.103755144,7.781635827,525.7628559,77.34096352,37.46539326,87.83302031,24.91659045,0.0,0.0,0.123722309,9.279173169,2024-02-28
12108,BU00500000,Centrum,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2035,1109.690028,332.7338597,63.1382632,33.22204115,61.77593882,17.59882239,0.0,0.0,0.08844566,6.633424476,468.1904669,76.71843403,45.51847881,79.69635079,22.74713245,0.0,0.0,0.113639921,8.522994104,592.8620609,89.21735586,41.80268462,94.13379035,26.81318935,0.0,0.0,0.13337994,10.00349547,2024-02-28
12109,BU00500000,Centrum,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2036,1114.593831,381.6606936,71.68399703,37.52853143,67.95136072,19.4771629,0.0,0.0,0.098027208,7.352040586,524.7717828,87.3966744,50.35777521,85.30660456,24.53526004,0.0,0.0,0.122750094,9.206257034,668.4966322,103.1767387,46.10679419,101.0547171,28.55020936,0.0,0.0,0.14222994,10.66724548,2024-02-28
12110,BU00500000,Centrum,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2037,1118.41237,429.736584,81.06030738,41.7759299,73.43183564,21.21671716,0.0,0.0,0.106952351,8.021426341,582.4455642,99.28297539,55.26687007,90.51929927,26.17667402,0.0,0.0,0.131172612,9.837945925,771.5575936,121.8495967,50.46105528,111.1889625,30.13442538,0.0,0.0,0.150369277,11.27769575,2024-02-28
12111,BU00500000,Centrum,Zeewolde,Flevoland,Liander,Noordwest,Flevoland,2038,1119.07221,475.9359545,91.23729623,45.98167083,78.09020215,22.83152105,0.0,0.0,0.11529071,8.646803266,642.7078195,112.7723998,60.56303627,95.56118749,27.68777234,0.0,0.0,0.138987654,10.42407402,913.048025,147.6811916,55.15562231,125.5495169,31.58406906,0.0,0.0,0.157886059,11.84145443,2024-02-28
